

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
03/26/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (BMNR) BITMINE IMMERSION JAN 15 27 $40 (100 SHS) (Margin)", -BMNR270115C40,"CALL (BMNR) BITMINE IMMERSION JAN 15 27 $40 (100 SHS)",Margin,2.39,1,0.65,0.02,,-239.67,Processing,03/27/2026
03/26/2026,"YOU BOUGHT ALPHABET INC CAP STK CL C (GOOG) (Margin)",GOOG,"ALPHABET INC CAP STK CL C",Margin,279.69,1,,,,-279.69,Processing,03/27/2026
03/26/2026,"YOU BOUGHT AXT INC (AXTI) (Margin)",AXTI,"AXT INC",Margin,59.51,5,,,,-297.55,Processing,03/27/2026
03/26/2026,"YOU BOUGHT NEBIUS GROUP N V COM USD0.01 CL A (NBIS) (Margin)",NBIS,"NEBIUS GROUP N V COM USD0.01 CL A",Margin,106.5,1,,,,-106.5,Processing,03/27/2026
03/26/2026,"YOU BOUGHT COHERENT CORP COM (COHR) (Margin)",COHR,"COHERENT CORP COM",Margin,252.71,2,,,,-505.42,Processing,03/27/2026
03/26/2026,"YOU BOUGHT SOFI TECHNOLOGIES INC COM (SOFI) (Margin)",SOFI,"SOFI TECHNOLOGIES INC COM",Margin,16.13,0.3,,,,-4.84,Processing,03/27/2026
03/26/2026,"YOU BOUGHT SOFI TECHNOLOGIES INC COM (SOFI) (Margin)",SOFI,"SOFI TECHNOLOGIES INC COM",Margin,16.13,10,,,,-161.25,Processing,03/27/2026
03/26/2026,"YOU BOUGHT LIGHTWAVE LOGIC INC COM (LWLG) (Margin)",LWLG,"LIGHTWAVE LOGIC INC COM",Margin,8.04,20,,,,-160.76,Processing,03/27/2026
03/26/2026,"YOU SOLD CLOSING TRANSACTION PUT (SPY) STATE STREET SPDR MAR 26 26 $651 (100 SHS) (Margin)", -SPY260326P651,"PUT (SPY) STATE STREET SPDR MAR 26 26 $651 (100 SHS)",Margin,1.31,-2,1.3,0.05,,260.65,Processing,03/27/2026
03/26/2026,"YOU BOUGHT OPENING TRANSACTION PUT (SPY) STATE STREET SPDR MAR 26 26 $651 (100 SHS) (Margin)", -SPY260326P651,"PUT (SPY) STATE STREET SPDR MAR 26 26 $651 (100 SHS)",Margin,1.01,1,0.65,0.02,,-101.67,Processing,03/27/2026
03/26/2026,"YOU BOUGHT OPENING TRANSACTION PUT (SPY) STATE STREET SPDR MAR 26 26 $651 (100 SHS) (Margin)", -SPY260326P651,"PUT (SPY) STATE STREET SPDR MAR 26 26 $651 (100 SHS)",Margin,1.44,1,0.65,0.02,,-144.67,Processing,03/27/2026
03/26/2026,"YOU BOUGHT APPLIED OPTOELECTRONICS INC (AAOI) (Margin)",AAOI,"APPLIED OPTOELECTRONICS INC",Margin,104.61,2,,,,-209.21,Processing,03/27/2026
03/26/2026,"YOU BOUGHT AXT INC (AXTI) (Margin)",AXTI,"AXT INC",Margin,63.11,2,,,,-126.22,Processing,03/27/2026
03/26/2026,"YOU BOUGHT TOWER SEMICONDUCTOR LTD ORD ILS1 (TSEM) (Margin)",TSEM,"TOWER SEMICONDUCTOR LTD ORD ILS1",Margin,177.29,2,,,,-354.58,Processing,03/27/2026
03/26/2026,"YOU BOUGHT AEHR TEST SYS COM (AEHR) (Margin)",AEHR,"AEHR TEST SYS COM",Margin,35.71,5,,,,-178.55,Processing,03/27/2026
03/26/2026,"DIVIDEND RECEIVED QUALCOMM INC (QCOM) (Margin)",QCOM,"QUALCOMM INC",Margin,,0.000,,,,15.71,Processing,
03/25/2026,"YOU SOLD OPENING TRANSACTION CALL (LWLG) LIGHTWAVE LOGIC INC MAY 15 26 $9 (100 SHS) (Margin)", -LWLG260515C9,"CALL (LWLG) LIGHTWAVE LOGIC INC MAY 15 26 $9 (100 SHS)",Margin,1.45,-1,0.65,0.02,,144.33,559.81,03/26/2026
03/25/2026,"YOU BOUGHT OPENING TRANSACTION PUT (SPY) STATE STREET SPDR MAR 25 26 $656 (100 SHS) (Margin)", -SPY260325P656,"PUT (SPY) STATE STREET SPDR MAR 25 26 $656 (100 SHS)",Margin,1.44,1,0.65,0.02,,-144.67,415.48,03/26/2026
03/25/2026,"YOU SOLD CLOSING TRANSACTION PUT (SPY) STATE STREET SPDR MAR 25 26 $656 (100 SHS) (Margin)", -SPY260325P656,"PUT (SPY) STATE STREET SPDR MAR 25 26 $656 (100 SHS)",Margin,2.96,-1,0.65,0.02,,295.33,560.15,03/26/2026
03/25/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (LWLG) LIGHTWAVE LOGIC INC APR 17 26 $8 (100 SHS) (Margin)", -LWLG260417C8,"CALL (LWLG) LIGHTWAVE LOGIC INC APR 17 26 $8 (100 SHS)",Margin,1.35,1,0.65,0.02,,-135.67,264.82,03/26/2026
03/25/2026,"YOU SOLD LIGHTWAVE LOGIC INC COM (LWLG) (Margin)",LWLG,"LIGHTWAVE LOGIC INC COM",Margin,8.59,-5,,,,42.95,400.49,03/26/2026
03/24/2026,"YOU SOLD INVESTMENT MANAGERS SER TR II TRADR ... (COHX) (Cash)",COHX,"INVESTMENT MANAGERS SER TR II TRADR 2X ",Cash,33.9,-2,,,,67.79,357.54,03/25/2026
03/24/2026,"YOU SOLD DIREXION SHARES ETF TRUST DAILY SEMI... (SOXL) (Cash)",SOXL,"DIREXION SHARES ETF TRUST DAILY SEMICON",Cash,54.11,-2,,,,108.22,289.75,03/25/2026
