

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
03/26/2026,"YOU BOUGHT STATE STREET SPDR S&P 500 ETF UNITS (SPY) (Cash)",SPY,"STATE STREET SPDR S&P 500 ETF UNITS",Cash,646.79,0.077,,,,-49.8,Processing,03/27/2026
03/26/2026,"YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)",NVDA,"NVIDIA CORPORATION COM",Cash,172.28,0.5,,,,-86.14,Processing,03/27/2026
03/20/2026,"YOU BOUGHT HYPERLIQUID STRATEGIES INC COM (PURR) (Cash)",PURR,"HYPERLIQUID STRATEGIES INC COM",Cash,5.45,0.367,,,,-2,0.75,03/23/2026
03/19/2026,"YOU BOUGHT HYPERLIQUID STRATEGIES INC COM (PURR) (Cash)",PURR,"HYPERLIQUID STRATEGIES INC COM",Cash,5.73,9,,,,-51.57,2.75,03/20/2026
03/18/2026,"YOU BOUGHT VISA INC (V) (Cash)",V,"VISA INC",Cash,300.66,1,,,,-300.66,4.32,03/19/2026
03/16/2026,"YOU BOUGHT UNITED PARCEL SERVICE INC CL B (UPS) (Cash)",UPS,"UNITED PARCEL SERVICE INC CL B",Cash,97.72,0.614,,,,-60,4.98,03/17/2026
03/16/2026,"YOU SOLD HYPERLIQUID STRATEGIES INC COM (PURR) (Cash)",PURR,"HYPERLIQUID STRATEGIES INC COM",Cash,6.04,-10,,,,60.4,64.98,03/17/2026
03/06/2026,"YOU BOUGHT UNITED PARCEL SERVICE INC CL B (UPS) (Cash)",UPS,"UNITED PARCEL SERVICE INC CL B",Cash,100.8,0.396,,,,-39.92,4.58,03/09/2026
03/06/2026,"YOU BOUGHT HYPERLIQUID STRATEGIES INC COM (PURR) (Cash)",PURR,"HYPERLIQUID STRATEGIES INC COM",Cash,4.42,10,,,,-44.15,44.50,03/09/2026
03/06/2026,"YOU BOUGHT ALIBABA GROUP HOLDING LTD SPON ADS E... (BABA) (Cash)",BABA,"ALIBABA GROUP HOLDING LTD SPON ADS EACH",Cash,132.11,0.302,,,,-39.9,88.65,03/09/2026
03/05/2026,"DIVIDEND RECEIVED UNITED PARCEL SERVICE INC CL B (UPS) (Cash)",UPS,"UNITED PARCEL SERVICE INC CL B",Cash,,0.000,,,,3.28,128.55,
03/05/2026,"DIVIDEND RECEIVED CUMMINS INC (CMI) (Cash)",CMI,"CUMMINS INC",Cash,,0.000,,,,2.08,125.27,
03/04/2026,"YOU SOLD HYPERLIQUID STRATEGIES INC COM (PURR) (Cash)",PURR,"HYPERLIQUID STRATEGIES INC COM",Cash,5.23,-5,,,,26.13,123.19,03/05/2026
03/02/2026,"DIVIDEND RECEIVED VISA INC (V) (Cash)",V,"VISA INC",Cash,,0.000,,,,2.32,97.06,
03/02/2026,"YOU SOLD HYPERLIQUID STRATEGIES INC COM (PURR) (Cash)",PURR,"HYPERLIQUID STRATEGIES INC COM",Cash,4.88,-8,,,,39,94.74,03/03/2026
02/27/2026,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,0.28,,,,-0.28,55.74,
02/27/2026,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,0.28,55.74,
02/26/2026,"YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)",NVDA,"NVIDIA CORPORATION COM",Cash,186.82,0.535,,,,-99.95,55.46,02/27/2026
02/24/2026,"YOU SOLD DIREXION SHARES ETF TRUST DAILY SEMI... (SOXL) (Cash)",SOXL,"DIREXION SHARES ETF TRUST DAILY SEMICON",Cash,68.8,-0.248,,,,17.06,155.41,02/25/2026
02/24/2026,"YOU SOLD DIREXION SHARES ETF TRUST DAILY SEMI... (SOXL) (Cash)",SOXL,"DIREXION SHARES ETF TRUST DAILY SEMICON",Cash,68.8,-2,,,,137.59,138.35,02/25/2026
02/23/2026,"YOU BOUGHT HYPERLIQUID STRATEGIES INC COM (PURR) (Cash)",PURR,"HYPERLIQUID STRATEGIES INC COM",Cash,3.73,8,,,,-29.84,0.76,02/24/2026
02/12/2026,"YOU BOUGHT DIREXION SHARES ETF TRUST DAILY SEMI... (SOXL) (Cash)",SOXL,"DIREXION SHARES ETF TRUST DAILY SEMICON",Cash,64.47,0.248,,,,-15.99,30.60,02/13/2026
02/12/2026,"YOU BOUGHT CUMMINS INC (CMI) (Cash)",CMI,"CUMMINS INC",Cash,583.64,0.042,,,,-24.51,46.59,02/13/2026
02/10/2026,"YOU SOLD STATE STREET SPDR S&P 500 ETF UNITS (SPY) (Cash)",SPY,"STATE STREET SPDR S&P 500 ETF UNITS",Cash,693.71,-0.12,,,,83.24,71.10,02/11/2026
02/10/2026,"YOU SOLD STATE STREET SPDR S&P 500 ETF UNITS (SPY) (Cash)",SPY,"STATE STREET SPDR S&P 500 ETF UNITS",Cash,693.7,-1,,,,693.7,-12.14,02/11/2026
02/10/2026,"YOU BOUGHT DIREXION SHARES ETF TRUST DAILY SEMI... (SOXL) (Cash)",SOXL,"DIREXION SHARES ETF TRUST DAILY SEMICON",Cash,63.56,2,,,,-127.12,-705.84,02/11/2026
02/10/2026,"YOU BOUGHT CUMMINS INC (CMI) (Cash)",CMI,"CUMMINS INC",Cash,585.19,1,,,,-585.19,-578.72,02/11/2026
02/04/2026,"YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)",NVDA,"NVIDIA CORPORATION COM",Cash,174.53,0.143,,,,-24.96,6.47,02/05/2026
